"","element","fixture","opponent_team","total_points","was_home","kickoff_time","team_h_score","team_a_score","round","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","value","transfers_balance","selected","transfers_in","transfers_out","playername"
"857",160,41,11,0,TRUE,"2020-10-17T11:30:00Z",2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",44,-2476,8247,49,2525,"Jonjoe Kenny"
"858",161,4,17,0,FALSE,"2020-09-13T15:30:00Z",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",50,0,109,0,0,"Jean-Philippe Gbamin"
"859",161,12,18,0,TRUE,"2020-09-19T11:30:00Z",5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",50,-1,136,26,27,"Jean-Philippe Gbamin"
"860",161,21,6,0,FALSE,"2020-09-26T14:00:00Z",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",50,-13,137,30,43,"Jean-Philippe Gbamin"
"861",161,32,3,0,TRUE,"2020-10-03T14:00:00Z",4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",50,-5,137,18,23,"Jean-Philippe Gbamin"
"862",161,41,11,0,TRUE,"2020-10-17T11:30:00Z",2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",50,2,152,23,21,"Jean-Philippe Gbamin"
"863",162,4,17,6,FALSE,"2020-09-13T15:30:00Z",0,1,1,90,0,0,1,0,0,0,0,0,0,0,0,27,"23.2","0.4","1.0","2.5",55,0,54492,0,0,"Yerry Mina"
"864",162,12,18,1,TRUE,"2020-09-19T11:30:00Z",5,2,2,90,0,0,0,2,0,0,0,0,0,0,0,17,"25.2","1.5","2.0","2.9",55,11979,92644,19670,7691,"Yerry Mina"
"865",162,21,6,2,FALSE,"2020-09-26T14:00:00Z",1,2,3,90,0,0,0,1,0,0,0,0,0,0,0,15,"17.0","0.3","0.0","1.7",55,7,102121,15442,15435,"Yerry Mina"
"866",162,32,3,8,TRUE,"2020-10-03T14:00:00Z",4,2,4,90,1,0,0,2,0,0,0,0,0,0,1,31,"64.6","0.7","33.0","9.8",55,-2299,106524,8849,11148,"Yerry Mina"
"867",162,41,11,1,TRUE,"2020-10-17T11:30:00Z",2,2,5,90,0,0,0,2,0,0,0,0,0,0,0,6,"6.0","0.2","4.0","1.0",55,18505,140836,34403,15898,"Yerry Mina"
"868",163,4,17,1,FALSE,"2020-09-13T15:30:00Z",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,"2.0","0.0","0.0","0.2",55,0,8045,0,0,"Tom Davies"
"869",163,12,18,0,TRUE,"2020-09-19T11:30:00Z",5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",55,-928,9223,566,1494,"Tom Davies"
"870",163,21,6,1,FALSE,"2020-09-26T14:00:00Z",1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,2,"0.0","0.0","0.0","0.0",54,-1465,8286,540,2005,"Tom Davies"
"871",163,32,3,2,TRUE,"2020-10-03T14:00:00Z",4,2,4,90,0,0,0,2,0,0,0,0,0,0,0,18,"20.2","2.8","0.0","2.3",54,-353,8331,665,1018,"Tom Davies"
